Year-Month,Domestic Travel,Int Travel,Total Travel,Unemployment rate,Jet fuel price,Interest Rates,Opening XAL 
2002-10,48054917,9578435,57633352,5.7,0.79,1.62,32.099998
2002-11,44850246,9016535,53866781,5.9,0.708,1.26,37.400002
2002-12,49684353,10038794,59723147,6,0.811,1.2,43
2003-01,43032450,9726436,52758886,5.8,0.887,1.17,38.790001
2003-02,41166780,8283372,49450152,5.9,1.055,1.2,32.919998
2003-03,49992700,9538653,59531353,5.9,0.893,1.18,28.620001
2003-04,47033260,8309305,55342565,6,0.743,1.16,29.639999
2003-05,49152352,8801873,57954225,6.1,0.714,1.08,39
2003-06,52209516,10347900,62557416,6.3,0.748,0.97,42.700001
2003-07,55810773,11705206,67515979,6.2,0.78,0.9,54.93
2003-08,53920973,11799672,65720645,6.1,0.823,0.95,52.470001
2003-09,44213408,9454647,53668055,6.1,0.738,0.91,56.41
2003-10,49944935,9608358,59553293,6,0.82,0.91,61.48
2003-11,47059495,9481886,56541381,5.8,0.831,0.94,67.25
2003-12,49757124,10512547,60269671,5.7,0.876,0.89,65.199997
2004-01,43815481,10252443,54067924,5.7,0.998,0.85,61.369999
2004-02,45306644,9310317,54616961,5.6,0.933,0.92,61.610001
2004-03,54147227,10976440,65123667,5.8,0.947,0.96,60.16
2004-04,53253194,10802022,64055216,5.6,0.973,0.91,56.119999
2004-05,53030873,10971254,64002127,5.6,1.092,0.91,52.66
2004-06,56959142,12159514,69118656,5.6,1.032,1.05,53.509998
2004-07,59614287,13502913,73117200,5.5,1.145,1.19,57.150002
2004-08,57380873,13203566,70584439,5.4,1.227,1.37,45.959999
2004-09,47671785,10570682,58242467,5.4,1.362,1.55,47.200001
2004-10,54167489,10772177,64939666,5.5,1.52,1.63,42.82
2004-11,51782564,10174320,61956884,5.4,1.347,1.92,49.400002
2004-12,52640057,11244427,63884484,5.4,1.223,1.96,55.93
2005-01,47977657,11387275,59364932,5.3,1.334,2.05,60.080002
2005-02,47074882,9945067,57019949,5.4,1.334,2.36,48.119999
2005-03,58838975,12479643,71318618,5.2,1.562,2.65,46.150002
2005-04,54908859,11521174,66430033,5.2,1.573,2.64,48.98
2005-05,57323876,12164600,69488476,5.1,1.471,2.65,45.169998
2005-06,59724061,13140061,72864122,5,1.654,2.83,50.049999
2005-07,62396446,14421209,76817655,5,1.665,3.1,47.259998
2005-08,59110633,13703334,72813967,4.9,1.874,3.34,51.880001
2005-09,50600325,11325800,61926125,5,2.232,3.23,47.360001
2005-10,53738093,11107586,64845679,5,2.398,3.51,41.669998
2005-11,52766404,10580099,63346503,5,1.698,3.91,47.27
2005-12,52801276,11812574,64613850,4.9,1.727,3.69,48.93
2006-01,48886043,11724098,60610141,4.7,1.816,4.12,54.43
2006-02,47348142,10167275,57515417,4.8,1.754,4.38,51.68
2006-03,58286011,12707241,70993252,4.7,1.875,4.55,53.200001
2006-04,55828555,12619137,68447692,4.7,2.074,4.61,55.799999
2006-05,57145193,12610793,69755986,4.6,2.07,4.7,49.990002
2006-06,59297121,13690835,72987956,4.6,2.081,4.71,48.610001
2006-07,60838606,14912621,75751227,4.7,2.154,4.9,53.810001
2006-08,58303233,14171796,72475029,4.7,2.133,5.16,49.73
2006-09,49949551,12010922,61960473,4.5,1.81,4.77,48.66
2006-10,55088986,11517228,66606214,4.4,1.739,4.97,49.349998
2006-11,53852209,11222687,65074896,4.5,1.733,5.21,55.34
2006-12,53538970,12385958,65924928,4.4,1.81,4.87,58.459999
2007-01,50022168,12072442,62094610,4.6,1.654,4.94,58.290001
2007-02,47766421,10591580,58358001,4.5,1.74,5.18,59.060001
2007-03,59244232,13247375,72491607,4.4,1.846,5.21,55.810001
2007-04,57398267,12795517,70193784,4.5,2.036,4.99,52.599998
2007-05,59285571,12972589,72258160,4.4,2.044,4.82,49.450001
2007-06,61493934,14170877,75664811,4.6,2.099,4.52,52.419998
2007-07,63457403,15470687,78928090,4.7,2.137,4.82,49.790001
2007-08,62660179,15131296,77791475,4.6,2.092,4.2,46.43
2007-09,52310402,12332434,64642836,4.7,2.265,3.78,46.66
2007-10,57208618,12392938,69601556,4.7,2.372,3.81,43.860001
2007-11,55047116,12023481,67070597,4.7,2.673,3.68,46.509998
2007-12,53291139,13123756,66414895,5,2.601,2.86,40.549999
2008-01,50245100,12794514,63039614,5,2.605,2.74,34.330002
2008-02,50118363,11677400,61795763,4.9,2.728,2.27,36.259998
2008-03,59213077,14221964,73435041,5.1,3.124,1.35,31.5
2008-04,55611053,12983854,68594907,5,3.365,1.07,26.73
2008-05,58047400,13628619,71676019,5.4,3.738,1.76,23.459999
2008-06,59559171,14447504,74006675,5.6,3.878,1.72,19.110001
2008-07,61401480,15488628,76890108,5.8,3.886,1.6,16.09
2008-08,58966473,15369492,74335965,6.1,3.271,1.68,21.09
2008-09,47680101,11759694,59439795,6.1,3.375,0.89,24.370001
2008-10,52956023,11952515,64908538,6.5,2.315,0.29,21.49
2008-11,47658141,11288311,58946452,6.8,1.88,0.09,24.42
2008-12,50253800,12499216,62753016,7.3,1.375,0.03,20.530001
2009-01,44825056,12075267,56900323,7.8,1.469,0.05,24.26
2009-02,43680328,10412676,54093004,8.3,1.259,0.22,19.719999
2009-03,53534891,12508793,66043684,8.7,1.268,0.1,15.41
2009-04,52247781,12629805,64877586,9,1.369,0.1,14.39
2009-05,52951246,11806548,64757794,9.4,1.488,0.14,16.549999
2009-06,55898027,13199636,69097663,9.5,1.805,0.1,16.5
2009-07,59468957,14953615,74422572,9.5,1.712,0.15,17.049999
2009-08,56568180,14844821,71413001,9.6,1.885,0.12,21.07
2009-09,48235025,11659775,59894800,9.8,1.749,0.06,23.85
2009-10,52279405,11905529,64184934,10,1.942,0.04,28.780001
2009-11,48584832,11093714,59678546,9.9,1.986,0.05,23.950001
2009-12,49793527,12659154,62452681,9.9,1.979,0.03,27.700001
2010-01,45501620,12393439,57895059,9.8,2.052,0.02,33.790001
2010-02,42440614,10694165,53134779,9.8,1.989,0.06,31.889999
2010-03,54424077,13279320,67703397,9.9,2.108,0.12,36.48
2010-04,52498074,12398700,64896774,9.9,2.243,0.15,37.68
2010-05,53842422,13380664,67223086,9.6,2.063,0.15,37.650002
2010-06,56689853,14406776,71096629,9.4,2.058,0.08,37.209999
2010-07,59142493,16026852,75169345,9.4,2.019,0.16,35.959999
2010-08,57370748,15317926,72688674,9.5,2.083,0.15,40.939999
2010-09,50304708,12599149,62903857,9.5,2.114,0.12,38.459999
2010-10,54826050,12874707,67700757,9.4,2.248,0.14,43.299999
2010-11,51420519,11651314,63071833,9.8,2.323,0.13,48.91
2010-12,51076415,12917451,63993866,9.3,2.453,0.09,48.810001
2011-01,46305000,12668763,58973763,9.1,2.619,0.14,47.02
2011-02,43657818,10944610,54602428,9,2.839,0.11,45.310001
2011-03,55649428,13473705,69123133,9,3.125,0.06,43.540001
2011-04,52858479,13537152,66395631,9.1,3.267,0.03,43.07
2011-05,55982234,13935132,69917366,9,3.085,0.02,43.110001
2011-06,57778699,14814672,72593371,9.1,3.046,0.02,43.189999
2011-07,60310568,16623674,76934242,9,3.131,0.04,42.5
2011-08,57403835,15753438,73157273,9,3.008,0.02,35.540001
2011-09,50982170,13220884,64203054,9,2.948,0.01,33.75
2011-10,54124363,13199913,67324276,8.8,2.966,0.01,30.5
2011-11,51660083,12156133,63816216,8.6,3.046,0.01,34.439999
2011-12,51534990,13559050,65094040,8.5,2.873,0,32.43
2012-01,47080840,13206801,60287641,8.3,3.087,0.02,33.07
2012-02,46405385,11732944,58138329,8.3,3.207,0.06,38.830002
2012-03,56200391,14387677,70588068,8.2,3.256,0.06,37.810001
2012-04,53691570,13995377,67686947,8.2,3.226,0.07,37.630001
2012-05,55749349,14291285,70040634,8.2,2.974,0.07,38.549999
2012-06,57903293,15582335,73485628,8.2,2.678,0.05,37.830002
2012-07,59688267,16969590,76657857,8.2,2.892,0.07,39.220001
2012-08,58646304,16616643,75262947,8.1,3.156,0.09,36.57
2012-09,50134504,13791714,63926218,7.8,3.191,0.08,36.189999
2012-10,53779646,13397785,67177431,7.8,3.111,0.11,37.650002
