,inducted,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp,seasons
0,1,2834,10116.0,1622.0,3007.0,498.0,75.0,399.0,1583.0,137.0,65.0,1277.0,1020.0,131.0,55.0,45.0,104.0,271.0,22
1,1,2143,7161.0,1259.0,2116.0,358.0,85.0,407.0,1333.0,99.0,50.0,971.0,1237.0,104.0,21.0,52.0,32.0,166.0,18
2,0,2071,7030.0,1105.0,1921.0,295.0,48.0,370.0,1274.0,63.0,31.0,943.0,1137.0,31.0,25.0,56.0,50.0,165.0,18
3,0,2216,8479.0,1223.0,2449.0,427.0,78.0,84.0,773.0,89.0,27.0,606.0,346.0,15.0,21.0,97.0,19.0,180.0,21
4,0,2367,9232.0,1279.0,2663.0,355.0,112.0,35.0,790.0,76.0,80.0,719.0,216.0,24.0,142.0,208.0,48.0,175.0,19
5,0,1942,7588.0,1067.0,2134.0,177.0,71.0,20.0,458.0,586.0,208.0,552.0,684.0,26.0,16.0,119.0,29.0,92.0,15
6,0,2189,8365.0,1322.0,2574.0,317.0,109.0,29.0,586.0,234.0,92.0,1198.0,571.0,25.0,43.0,112.0,18.0,83.0,15
7,1,2601,10230.0,1335.0,2677.0,394.0,92.0,83.0,791.0,506.0,136.0,736.0,742.0,22.0,27.0,161.0,76.0,184.0,18
8,0,1463,5101.0,826.0,1325.0,195.0,42.0,275.0,851.0,21.0,9.0,652.0,733.0,42.0,38.0,12.0,43.0,75.0,13
9,0,2409,8731.0,1196.0,2495.0,490.0,120.0,172.0,1311.0,137.0,90.0,955.0,869.0,22.0,49.0,80.0,19.0,183.0,21
10,0,1833,6913.0,951.0,2092.0,356.0,56.0,87.0,671.0,68.0,56.0,594.0,404.0,39.0,15.0,44.0,52.0,143.0,17
11,0,1718,5929.0,848.0,1766.0,290.0,29.0,279.0,1028.0,20.0,10.0,492.0,365.0,70.0,23.0,3.0,23.0,143.0,16
12,0,2124,7927.0,1131.0,2351.0,417.0,27.0,379.0,1365.0,142.0,80.0,588.0,1169.0,154.0,102.0,4.0,74.0,218.0,19
13,0,2163,7755.0,769.0,2016.0,294.0,62.0,138.0,853.0,27.0,23.0,447.0,706.0,110.0,20.0,87.0,70.0,194.0,17
14,0,1605,5363.0,619.0,1471.0,218.0,50.0,167.0,762.0,9.0,14.0,373.0,786.0,82.0,26.0,29.0,52.0,157.0,15
15,0,2243,8143.0,1138.0,2254.0,365.0,67.0,342.0,1331.0,35.0,41.0,1108.0,1343.0,94.0,38.0,13.0,94.0,256.0,15
16,0,2089,6705.0,1046.0,1820.0,241.0,41.0,377.0,1103.0,43.0,30.0,1043.0,1091.0,112.0,90.0,17.0,55.0,139.0,17
17,0,2082,7339.0,985.0,2101.0,359.0,49.0,206.0,852.0,107.0,67.0,423.0,706.0,67.0,57.0,33.0,56.0,135.0,19
18,0,936,3055.0,396.0,767.0,81.0,28.0,7.0,162.0,126.0,51.0,250.0,265.0,11.0,11.0,57.0,17.0,52.0,12
